,beg,end,strat_buy_and_hold,strat_equally_weighted,strat_max_Sharpe,strat_max_Sharpe_eff,strat_min_variance
0,2015-01-02,2015-02-27,"$1,043,785.08","$1,043,785.08","$1,043,785.08","$1,043,785.08","$1,043,785.08"
1,2015-03-02,2015-04-30,"$1,069,877.19","$1,035,032.43","$1,015,544.18","$1,022,107.97","$1,037,657.23"
2,2015-05-01,2015-06-30,"$1,027,659.63","$1,013,712.88","$1,004,371.10","$1,018,834.81","$992,134.45"
3,2015-07-01,2015-08-31,"$947,793.98","$964,932.73","$932,848.61","$961,552.08","$982,945.62"
4,2015-09-01,2015-10-30,"$1,027,307.87","$1,055,635.68","$1,091,969.60","$1,075,719.87","$1,021,259.59"
5,2015-11-02,2015-12-31,"$1,003,328.46","$1,070,651.04","$1,081,535.80","$1,075,072.04","$1,026,218.47"
6,2016-01-04,2016-02-29,"$970,570.87","$985,792.65","$1,003,167.17","$1,036,501.75","$1,075,201.59"
7,2016-03-01,2016-04-29,"$975,547.52","$1,086,281.05","$1,124,272.56","$1,150,317.56","$1,108,546.23"
8,2016-05-02,2016-06-30,"$1,000,838.49","$1,144,408.81","$1,100,290.62","$1,145,708.12","$1,202,850.28"
9,2016-07-01,2016-08-31,"$1,067,751.34","$1,263,203.59","$1,304,190.24","$1,307,933.59","$1,172,567.23"
10,2016-09-01,2016-10-31,"$1,090,939.15","$1,266,106.97","$1,276,381.82","$1,281,052.63","$1,093,874.35"
11,2016-11-01,2016-12-30,"$1,173,675.24","$1,405,386.28","$1,302,411.70","$1,330,429.49","$1,207,763.38"
